date,weekly_sentiment
2020-09-28,-0.00801666666666668
2020-09-29,-0.00801666666666668
2020-09-30,-0.00801666666666668
2020-10-01,-0.00801666666666668
2020-10-02,-0.00801666666666668
2020-10-05,0.013566666666666652
2020-10-06,0.013566666666666652
2020-10-07,0.013566666666666652
2020-10-08,0.013566666666666652
2020-10-09,0.013566666666666652
2020-10-12,0.13561111111111113
2020-10-13,0.13561111111111113
2020-10-14,0.13561111111111113
2020-10-15,0.13561111111111113
2020-10-16,0.13561111111111113
2020-10-19,0.254625
2020-10-20,0.254625
2020-10-21,0.254625
2020-10-22,0.254625
2020-10-23,0.254625
2020-10-26,0.10456666666666665
2020-10-27,0.10456666666666665
2020-10-28,0.10456666666666665
2020-10-29,0.10456666666666665
2020-10-30,0.10456666666666665
2020-11-02,0.14634285714285714
